"Name_UID","Person_UID","Name_Type","Place_of_Birth","Date_of_Birth","Forename1","Forename2","Forename3","Forename4","Surname","Forename1_Metaphone","Forename2_Metaphone","Forename3_Metaphone","Forename4_Metaphone","Surname_Metaphone"
1,1,"P","NEWCASTLE/TY","1954-01-26","DEREK","BRIAN",NULL,NULL,"BANNON","TRK","BRN","","","BNN"
2,2,"P","LIVERPOOL","1956-01-03","WILLIAM",NULL,NULL,NULL,"CLERKEN","WLM","","","","KLRK"
3,3,"P","OLDHAM","1974-01-08","CRAIG","ANTHONY",NULL,NULL,"SKEOCH","KRK","AN0N","","","SKX"
4,4,"P","IPSWICH","1954-01-25","STEVEN","LEONARD",NULL,NULL,"STOREY","STFN","LNRT","","","STR"
5,5,"P","WATFORD","1941-01-31","MICHAEL",NULL,NULL,NULL,"ELFOURTI","MXL","","","","ELFR"
6,6,"P","LIVERPOOL","1965-01-12","MICHAEL","ANTHONY",NULL,NULL,"COLMEY","MXL","AN0N","","","KLM"
7,7,"P","SCUNTHORPE","1952-01-20","JOHN",NULL,NULL,NULL,"SENIOR","JN","","","","SNR"
8,8,"P","SWINDON","1956-01-14","SANDRA","ANNE",NULL,NULL,"BYRNE","SNTR","AN","","","BRN"
9,9,"P","BRISTOL","1953-01-26","MICHAEL","JOHN",NULL,NULL,"HUMPHERIES","MXL","JN","","","HMFR"
10,10,"P","RIPLEY","1966-01-02","RICHARD",NULL,NULL,NULL,"SIMMONDS","RXRT","","","","SMNT"
11,11,"P","EDINBURGH","1937-01-28","DAVID",NULL,NULL,NULL,"THOMPSON","TFT","","","","0MPS"
12,12,"P","IPSWICH","1953-01-09","ALISON","CHRISTINE",NULL,NULL,"CULLEN","ALSN","XRST","","","KLN"
13,13,"P","CAMBERWELL","1971-01-03","MUSTAFA",NULL,NULL,NULL,"EVANS","MSTF","","","","EFNS"
14,14,"P","BISHOP AUCK","1969-01-08","MICHAEL","EDWARD",NULL,NULL,"GREEN","MXL","ETWR","","","KRN"
15,15,"P","RUGELEY","1968-01-04","MAXINE","KATHRYN",NULL,NULL,"BIRCH","MKSN","K0RN","","","BRX"
16,16,"P","LIVERPOOL","1932-01-30","THOMAS",NULL,NULL,NULL,"DENNIS","0MS","","","","TNS"
17,17,"P","INDIA","1946-01-07","SHEAN",NULL,NULL,NULL,"SHAW","XN","","","","X"
18,18,"P","GLASGOW","1967-01-22","PAUL","DORAN",NULL,NULL,"STEVEN","PL","TRN","","","STFN"
19,19,"P","CASTLEBAR SI","1937-01-13","OLIVER","JOHN",NULL,NULL,"SMALL","OLFR","JN","","","SML"
20,20,"P","MANCHESTER","1955-01-28","MICHAEL",NULL,NULL,NULL,"LALL","MXL","","","","LL"
